TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,7,1,21,50,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2019,7,12,17,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2019,7,16,14,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Other Theft,2019,3,6,10,42,16XX ROBSON ST,West End,490299.4,5459726.71
Other Theft,2019,3,29,12,0,3XX WATER ST,Central Business District,491953.93,5459110.95
Offence Against a Person,2019,4,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,7,5,13,53,16XX ROBSON ST,West End,490299.4,5459726.71
Other Theft,2019,7,12,1,30,16XX ROBSON ST,West End,490299.4,5459726.71
Mischief,2019,1,13,0,0,RICHARDS ST / W PENDER ST,Central Business District,491791.75,5458968.75
Theft from Vehicle,2019,1,3,17,40,3XX W 1ST AVE,Mount Pleasant,491827.96,5457361.52
Other Theft,2019,5,12,13,0,16XX ROBSON ST,West End,490362.93,5459649.6
Mischief,2019,3,23,23,55,8XX GRANVILLE ST,Central Business District,491179.96,5458641.62
Other Theft,2019,1,8,17,19,3XX WATER ST,Central Business District,491953.93,5459110.95
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,26,15,56,7XX TERMINAL AVE,Strathcona,493672,5457548
Theft from Vehicle,2019,3,17,19,30,12XX HORNBY ST,Central Business District,490680.04,5458406.79
Theft from Vehicle,2019,6,22,22,0,GLADSTONE ST / KINGSWAY AVE,Kensington-Cedar Cottage,495501.12,5454533.9
Mischief,2019,2,9,0,0,16XX E HASTINGS ST,Grandview-Woodland,494731.99,5458733.17
Other Theft,2019,2,11,14,57,3XX W CORDOVA ST,Central Business District,492055.43,5458994.72
Other Theft,2019,1,28,15,30,3XX W CORDOVA ST,Central Business District,492052.09,5458998.1
Theft of Bicycle,2019,5,30,18,0,6XX W 6TH AVE,Fairview,491333.39,5457013.76
Other Theft,2019,4,13,12,45,3XX W CORDOVA ST,Central Business District,492047.8,5458989.43
Other Theft,2019,2,11,13,46,3XX W CORDOVA ST,Central Business District,492047.8,5458989.43
Offence Against a Person,2019,6,8,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,7,3,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2019,5,30,0,0,46XX W 11TH AVE,West Point Grey,484432.62,5456717.33
Other Theft,2019,1,4,12,17,3XX W CORDOVA ST,Central Business District,492047.8,5458989.43
Other Theft,2019,4,14,17,28,3XX W CORDOVA ST,Central Business District,492037.79,5458999.59
Mischief,2019,5,6,19,0,16XX E HASTINGS ST,Grandview-Woodland,494734.55,5458723.94
Theft from Vehicle,2019,2,9,23,0,87XX OSLER ST,Marpole,490401.09,5450363.42
Theft from Vehicle,2019,4,27,23,0,87XX OSLER ST,Marpole,490401.09,5450363.42
Other Theft,2019,7,9,17,40,3XX W CORDOVA ST,Central Business District,492028.92,5459008.59
Theft from Vehicle,2019,7,2,8,30,12XX HOWE ST,Central Business District,490733.23,5458324.46
Theft of Bicycle,2019,6,28,14,20,1XX E BROADWAY AVE,Mount Pleasant,492515.64,5456689.45
Theft of Vehicle,2019,6,27,22,0,6XX W 32ND AVE,South Cambie,491367.04,5454380.43
Theft from Vehicle,2019,6,28,2,55,27XX WALL ST,Hastings-Sunrise,496425.21,5459926.86
Theft from Vehicle,2019,2,21,18,40,27XX WALL ST,Hastings-Sunrise,496421.35,5459927.76
Mischief,2019,5,16,4,53,16XX E HASTINGS ST,Grandview-Woodland,494734.55,5458723.94
Theft from Vehicle,2019,1,11,0,0,27XX W KING EDWARD AVE,Arbutus Ridge,487872.69,5455061.73
Break and Enter Residential/Other,2019,1,11,9,51,22XX E 5TH AVE,Grandview-Woodland,495675.02,5457013.09
Mischief,2019,5,10,14,16,16XX E HASTINGS ST,Grandview-Woodland,494784.61,5458722.38
Theft from Vehicle,2019,6,7,3,30,GILFORD ST / PENDRELL ST,West End,489650.35,5459596.92
Theft from Vehicle,2019,6,21,18,30,12XX HOWE ST,Central Business District,490735.29,5458339.47
Offence Against a Person,2019,6,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,2,5,11,40,10XX ROBSON ST,West End,491004.98,5459024.48
Other Theft,2019,5,21,22,2,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Other Theft,2019,5,15,12,30,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Other Theft,2019,2,5,20,40,10XX ROBSON ST,West End,491004.98,5459024.48
Other Theft,2019,5,10,21,45,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Other Theft,2019,5,10,19,31,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Theft from Vehicle,2019,1,3,11,30,3XX W 22ND AVE,Riley Park,491881.37,5455378.72
Other Theft,2019,4,27,21,14,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Other Theft,2019,4,27,20,10,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Theft from Vehicle,2019,3,23,15,0,27XX W 8TH AVE,Kitsilano,487885.11,5456918.07
Theft from Vehicle,2019,2,1,20,0,27XX W 8TH AVE,Kitsilano,487885.11,5456918.07
Other Theft,2019,4,17,15,20,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Theft from Vehicle,2019,1,5,21,33,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,1,31,11,13,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,2,3,5,37,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,2,11,8,0,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,2,16,20,30,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,2,17,21,0,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,3,8,21,0,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,3,9,14,30,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Other Theft,2019,3,12,10,42,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Theft from Vehicle,2019,3,22,21,54,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,4,9,16,0,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,4,27,2,33,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Theft from Vehicle,2019,5,20,22,0,9XX SEYMOUR ST,Central Business District,491208.27,5458510.42
Other Theft,2019,3,7,13,9,3XX W BROADWAY AVE,Mount Pleasant,491909.6,5456710.97
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,16,20,13,7XX BLOCK ROBSON ST,Central Business District,491276,5458751
Other Theft,2019,5,12,13,5,9XX ROBSON ST,Central Business District,491089.01,5458929.74
Theft from Vehicle,2019,6,12,22,0,9XX SEYMOUR ST,Central Business District,491210.74,5458525.8
Other Theft,2019,4,3,11,39,25XX E HASTINGS ST,Hastings-Sunrise,496188.74,5458718.05
Other Theft,2019,4,16,15,7,25XX E HASTINGS ST,Hastings-Sunrise,496188.74,5458718.05
Theft from Vehicle,2019,4,8,17,0,27XX W 8TH AVE,Kitsilano,487784.89,5456930.11
Other Theft,2019,5,2,13,30,25XX E HASTINGS ST,Hastings-Sunrise,496188.74,5458718.05
Break and Enter Residential/Other,2019,1,10,11,54,22XX E 6TH AVE,Grandview-Woodland,495637.49,5456921.63
Mischief,2019,4,20,21,0,8XX E PENDER ST,Strathcona,493718,5458606.51
Theft from Vehicle,2019,2,9,12,0,87XX OSLER ST,Marpole,490412.35,5450463.79
Other Theft,2019,2,19,16,0,10XX ROBSON ST,West End,491004.98,5459024.48
Theft from Vehicle,2019,1,5,2,20,12XX HOWE ST,Central Business District,490748.34,5458339.6
Mischief,2019,2,1,19,0,8XX E PENDER ST,Strathcona,493704.59,5458597.81
Other Theft,2019,4,1,21,29,8X W PENDER ST,Central Business District,492206.87,5458693.46
Theft from Vehicle,2019,1,21,0,0,12XX HOWE ST,Central Business District,490748.34,5458339.6
Theft from Vehicle,2019,6,8,22,0,12XX HOWE ST,Central Business District,490748.34,5458339.6
Other Theft,2019,4,12,17,33,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,4,16,12,45,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,4,19,12,10,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,4,29,17,48,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,5,3,16,21,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,2,4,17,45,7XX THURLOW ST,West End,491005.66,5459180.58
Break and Enter Residential/Other,2019,1,14,23,0,22XX E BROADWAY AVE,Grandview-Woodland,495717.39,5456615.33
Theft from Vehicle,2019,3,9,19,10,GEORGIA VIA / PRIOR ST,Strathcona,492953.35,5458220.04
Break and Enter Residential/Other,2019,5,13,15,21,15XX E 43RD AVE,Victoria-Fraserview,494678.33,5453087.56
Offence Against a Person,2019,3,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,1,8,10,42,7XX THURLOW ST,West End,491005.66,5459180.58
Break and Enter Commercial,2019,6,27,19,26,9XX CHILCO ST,West End,489741.36,5459887.84
Break and Enter Commercial,2019,3,15,14,22,2XX E 15TH AVE,Mount Pleasant,492774.54,5456088.82
Break and Enter Residential/Other,2019,5,10,7,20,28XX E GEORGIA ST,Hastings-Sunrise,496677.56,5458387.86
Break and Enter Residential/Other,2019,4,29,19,30,4X SW MARINE DR,Marpole,492176.64,5451083.25
Mischief,2019,6,9,14,0,16XX GRANT ST,Grandview-Woodland,494802.44,5457627.86
Theft from Vehicle,2019,5,15,21,0,12XX JERVIS ST,West End,490177.32,5458900.13
Mischief,2019,3,15,12,42,8XX E PENDER ST,Strathcona,493662.01,5458599.25
Mischief,2019,2,1,17,0,8XX E PENDER ST,Strathcona,493662.01,5458599.25
Theft from Vehicle,2019,1,31,1,0,12XX JERVIS ST,West End,490182.14,5458892.07
Mischief,2019,2,13,16,0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Break and Enter Commercial,2019,1,7,14,1,2XX E 14TH AVE,Mount Pleasant,492753.27,5456188.28
Break and Enter Commercial,2019,1,7,3,0,2XX E 14TH AVE,Mount Pleasant,492753.27,5456188.28
Theft from Vehicle,2019,6,10,15,0,7XX E 21ST AVE,Kensington-Cedar Cottage,493454.72,5455457.73
Mischief,2019,6,13,2,0,5XX E 27TH AVE,Riley Park,493162.89,5454874.24
Break and Enter Residential/Other,2019,5,27,12,7,4X W 23RD AVE,Riley Park,492277.13,5455241.58
Theft of Vehicle,2019,3,8,11,22,11XX BARCLAY ST,West End,490760.35,5458949.75
Theft from Vehicle,2019,3,5,17,30,5XX TAYLOR ST,Central Business District,492320.94,5458653.16
Mischief,2019,7,2,16,0,GORE AVE / UNION ST,Strathcona,492947.38,5458322.44
Other Theft,2019,5,11,12,21,9XX ROBSON ST,Central Business District,491089.01,5458929.74
Other Theft,2019,5,7,17,50,9XX ROBSON ST,Central Business District,491089.01,5458929.74
Other Theft,2019,1,22,14,5,9XX ROBSON ST,Central Business District,491089.01,5458929.74
Other Theft,2019,3,5,18,30,10XX ROBSON ST,West End,491004.98,5459024.48
Theft from Vehicle,2019,5,15,16,50,7XX E 21ST AVE,Kensington-Cedar Cottage,493500.6,5455456.87
Other Theft,2019,3,6,14,0,10XX ROBSON ST,West End,491004.98,5459024.48
Theft from Vehicle,2019,5,5,8,50,6XX KEEFER ST,Strathcona,493344.37,5458507.7
Mischief,2019,2,26,15,0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Break and Enter Residential/Other,2019,6,11,19,17,1XX E 1ST AVE,Mount Pleasant,492552.19,5457497.69
Theft from Vehicle,2019,4,1,18,0,87XX SW MARINE DR,Marpole,489640.06,5450366.15
Offence Against a Person,2019,2,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,6,10,22,30,GARDEN DR / TURNER ST,Grandview-Woodland,495791.71,5458485.51
Offence Against a Person,2019,2,6,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,6,17,15,30,GORE AVE / PRIOR ST,Strathcona,492952.8,5458230.78
Break and Enter Residential/Other,2019,1,9,10,31,4XX BEACH CRES,Central Business District,490723.27,5457694.07
Other Theft,2019,3,7,8,0,7XX W GEORGIA ST,Central Business District,491402.8,5458863.87
Theft from Vehicle,2019,7,17,23,0,32XX W 51ST AVE,Kerrisdale,487129.58,5452525.14
Other Theft,2019,7,8,14,1,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Offence Against a Person,2019,2,4,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2019,6,24,17,40,1XX E 5TH AVE,Mount Pleasant,492539.82,5457087.02
Theft from Vehicle,2019,7,5,7,30,5XX TAYLOR ST,Central Business District,492304.88,5458594.22
Other Theft,2019,4,29,16,30,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Break and Enter Commercial,2019,3,9,8,5,9XX CAMBIE ST,Central Business District,491475.39,5458216.73
Theft of Bicycle,2019,1,27,1,0,46XX TODD ST,Renfrew-Collingwood,496622.96,5454318.25
Theft from Vehicle,2019,6,12,2,0,5XX TAYLOR ST,Central Business District,492304.88,5458594.22
Other Theft,2019,4,11,17,1,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Break and Enter Residential/Other,2019,1,4,10,12,4XX CARRALL ST,Central Business District,492413.46,5458656.13
Other Theft,2019,3,28,10,0,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Other Theft,2019,2,6,9,53,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Break and Enter Residential/Other,2019,2,15,8,30,4XX CARRALL ST,Central Business District,492413.46,5458656.13
Other Theft,2019,1,17,16,53,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Other Theft,2019,1,17,13,52,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Theft from Vehicle,2019,5,26,9,0,5XX TAYLOR ST,Central Business District,492304.88,5458594.22
Theft from Vehicle,2019,6,20,0,30,87XX YUKON ST,Marpole,491588.8,5450334.53
Theft of Vehicle,2019,1,16,12,0,22XX W 4TH AVE,Kitsilano,488692.09,5457282.37
Break and Enter Commercial,2019,6,30,21,35,2XX E 10TH AVE,Mount Pleasant,492653.03,5456583.2
Mischief,2019,4,15,18,0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Other Theft,2019,1,12,14,42,3XX TERMINAL AVE,Strathcona,492994.83,5457706.97
Other Theft,2019,1,11,13,37,16XX SALT ST,Mount Pleasant,492286.58,5457524.85
Other Theft,2019,1,14,13,36,16XX SALT ST,Mount Pleasant,492286.58,5457524.85
Theft from Vehicle,2019,1,6,16,0,27XX W 5TH AVE,Kitsilano,487872.32,5457205.34
Mischief,2019,4,20,13,0,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2019,6,20,18,15,27XX W 5TH AVE,Kitsilano,487826.17,5457196.99
Other Theft,2019,3,9,19,50,10XX ROBSON ST,West End,491004.98,5459024.48
Break and Enter Commercial,2019,2,19,2,10,2XX DAVIE ST,Central Business District,491137.73,5457954.45
Break and Enter Commercial,2019,1,7,21,25,2XX COLUMBIA ST,Central Business District,492563.56,5458937.23
Theft from Vehicle,2019,6,24,14,15,12XX JOHNSTON ST,Fairview,490401.19,5457438.96
Other Theft,2019,1,18,19,26,16XX SALT ST,Mount Pleasant,492286.58,5457524.85
Other Theft,2019,3,6,17,5,16XX SALT ST,Mount Pleasant,492286.58,5457524.85
Mischief,2019,7,10,13,27,16XX GRANVILLE ST,Central Business District,490419.58,5457877.16
Theft from Vehicle,2019,1,8,19,35,FREMLIN ST / W 49TH AVE,Oakridge,490778.66,5452641.37
Break and Enter Commercial,2019,1,29,3,30,2XX COLUMBIA ST,Central Business District,492562.27,5458895.8
Theft from Vehicle,2019,3,25,9,0,FREMLIN ST / W 45TH AVE,Oakridge,490771.34,5453052.99
Mischief,2019,5,15,20,0,GORE AVE / KEEFER ST,Strathcona,492931.23,5458524.61
Other Theft,2019,7,13,13,18,16XX SALT ST,Mount Pleasant,492286.58,5457524.85
Theft from Vehicle,2019,1,12,20,0,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,1,31,22,0,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,3,15,5,0,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,3,16,20,30,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,4,5,20,24,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,6,23,14,10,9XX SEYMOUR ST,Central Business District,491235.3,5458550.29
Theft from Vehicle,2019,7,10,8,23,3XX W 42ND AVE,Oakridge,491803,5453293
Theft from Vehicle,2019,4,6,0,0,3XX W 42ND AVE,Oakridge,491803.39,5453293.86
Theft from Vehicle,2019,5,21,18,30,12XX JOHNSTON ST,Fairview,490404.04,5457435.64
Mischief,2019,4,14,12,30,GORE AVE / KEEFER ST,Strathcona,492931.23,5458524.61
Break and Enter Commercial,2019,5,29,20,39,9XX BURRARD ST,West End,490888.51,5458783.63
Break and Enter Commercial,2019,6,22,18,1,9XX BEATTY ST,Central Business District,491581.07,5458185.66
Theft from Vehicle,2019,6,8,21,0,12XX LAKEWOOD DR,Grandview-Woodland,495507.9,5457886.67
Theft of Bicycle,2019,6,20,12,0,6XX W 41ST AVE,Oakridge,491253.25,5453429.85
Break and Enter Commercial,2019,1,10,3,4,9XX BEATTY ST,Central Business District,491494.11,5458112.26
Theft of Vehicle,2019,7,15,17,0,11XX BEACH AVE,West End,490139.89,5458331.01
Vehicle Collision or Pedestrian Struck (with Injury),2019,7,7,8,25,79XX BLOCK OAK ST,Marpole,490527,5451209
Theft from Vehicle,2019,2,1,6,25,6XX RICHARDS ST,Central Business District,491675.34,5458845.24
Other Theft,2019,2,14,14,25,3XX SW MARINE DR,Marpole,491713.33,5450934.43
Theft from Vehicle,2019,1,25,18,0,34XX E GEORGIA ST,Hastings-Sunrise,497755.54,5458385.15
Offence Against a Person,2019,4,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,4,23,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,5,19,19,2,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,5,16,21,4,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,5,15,13,55,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,4,12,17,0,1XX NATIONAL AVE,Central Business District,492596.41,5458016.85
Offence Against a Person,2019,7,8,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2019,6,18,8,2,6XX W 41ST AVE,Oakridge,491253.25,5453429.85
Theft from Vehicle,2019,2,6,19,0,1XX NATIONAL AVE,Central Business District,492596.41,5458016.85
Theft from Vehicle,2019,4,27,19,0,6XX JERVIS ST,Central Business District,490854.17,5459572.48
Theft of Bicycle,2019,3,17,4,20,1XX E 45TH AVE,Sunset,492516.3,5452967.52
Other Theft,2019,5,7,8,29,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft of Bicycle,2019,6,14,8,0,1XX E 45TH AVE,Sunset,492468.23,5452959.71
Theft from Vehicle,2019,4,28,12,0,35XX E 43RD AVE,Killarney,497966.15,5453118.86
Offence Against a Person,2019,6,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,4,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,3,11,20,7,10XX ROBSON ST,West End,491004.98,5459024.48
Theft from Vehicle,2019,3,5,16,0,6XX JERVIS ST,Central Business District,490854.17,5459572.48
Theft of Bicycle,2019,5,19,3,0,1XX E 41ST AVE,Riley Park,492565.87,5453381.92
Other Theft,2019,5,4,7,14,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,2,2,23,0,7XX E 23RD AVE,Kensington-Cedar Cottage,493508.17,5455265.48
Other Theft,2019,1,23,16,0,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,3,12,20,50,10XX ROBSON ST,West End,491004.98,5459024.48
Offence Against a Person,2019,4,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,3,1,15,0,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,4,3,16,15,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,4,5,17,26,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Theft of Vehicle,2019,4,28,0,0,6XX W 57TH AVE,Oakridge,491335.15,5451821.99
Theft from Vehicle,2019,4,17,21,14,6XX ABBOTT ST,Central Business District,492166.43,5458452.72
Other Theft,2019,4,17,11,46,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Theft from Vehicle,2019,3,22,22,0,3XX W 48TH AVE,Oakridge,491771.99,5452678.86
Other Theft,2019,5,2,17,46,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,4,19,14,11,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,5,14,8,32,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,4,28,16,44,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft of Bicycle,2019,5,30,12,0,1XX E 39TH AVE,Riley Park,492493.24,5453639.8
Other Theft,2019,5,19,14,13,25XX GRANVILLE ST,Fairview,489914.3,5456760.41
Other Theft,2019,4,27,18,30,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Break and Enter Residential/Other,2019,5,5,18,27,28XX GUELPH ST,Mount Pleasant,493093.11,5456311.23
Theft from Vehicle,2019,5,5,15,0,38XX CLARK DR,Kensington-Cedar Cottage,494317.15,5455328.47
Other Theft,2019,4,19,16,53,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft of Bicycle,2019,7,9,1,38,1XX E 37TH AVE,Riley Park,492514.31,5453843.68
Theft from Vehicle,2019,7,14,14,0,1XX N TEMPLETON DR,Grandview-Woodland,495662.37,5459224.58
Other Theft,2019,4,18,16,15,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,4,15,12,53,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,4,15,9,0,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,4,13,13,56,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Vehicle Collision or Pedestrian Struck (with Injury),2019,5,15,6,20,76XX BLOCK BOUNDARY RD,Killarney,498267,5451334
Offence Against a Person,2019,2,2,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,6,29,20,45,1XX N RENFREW ST,Hastings-Sunrise,496800.84,5459219.33
Other Theft,2019,5,13,13,58,11XX DAVIE ST,West End,490419.52,5458678.19
Mischief,2019,2,7,16,30,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494882.79,5454984.71
Theft from Vehicle,2019,1,18,20,0,1XX N PENTICTON ST,Hastings-Sunrise,496225.54,5459218.29
Theft from Vehicle,2019,4,11,15,0,12XX LILLOOET ST,Hastings-Sunrise,497174.53,5457914.29
Other Theft,2019,4,12,22,0,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Mischief,2019,2,6,16,45,8XX E CORDOVA ST,Strathcona,493784.66,5458806.42
Other Theft,2019,4,8,17,5,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Vehicle Collision or Pedestrian Struck (with Injury),2019,3,14,9,1,75XX BLOCK OAK ST,Marpole,490574,5451565
Other Theft,2019,4,6,23,42,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft of Bicycle,2019,3,19,8,23,1XX E 20TH AVE,Riley Park,492636.51,5455549.56
Offence Against a Person,2019,1,17,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2019,4,4,10,50,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,5,15,14,8,8X W PENDER ST,Central Business District,492206.87,5458693.46
Other Theft,2019,4,4,8,23,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,4,28,12,0,27XX W 21ST AVE,Arbutus Ridge,487977.02,5455665.33
Offence Against a Person,2019,3,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,5,30,19,0,27XX W 21ST AVE,Arbutus Ridge,487969.06,5455665.54
Theft from Vehicle,2019,1,16,18,58,1XX MILROSS AVE,Central Business District,492709.83,5458143.2
Theft from Vehicle,2019,1,16,1,12,1XX MILROSS AVE,Central Business District,492709.83,5458143.2
Theft from Vehicle,2019,1,15,14,30,1XX MILROSS AVE,Central Business District,492709.83,5458143.2
Other Theft,2019,4,1,17,30,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,5,29,3,45,27XX W 21ST AVE,Arbutus Ridge,487969.06,5455665.54
Theft of Bicycle,2019,4,12,13,45,1XX E 20TH AVE,Riley Park,492539.74,5455561.01
Mischief,2019,7,17,9,40,16XX MAIN ST,Mount Pleasant,492681.94,5457603.41
Theft from Vehicle,2019,5,28,8,12,27XX W 21ST AVE,Arbutus Ridge,487969.06,5455665.54
Break and Enter Residential/Other,2019,3,18,22,0,28XX TRIUMPH ST,Hastings-Sunrise,496764.49,5459009.83
Theft from Vehicle,2019,6,17,13,15,1XX MILROSS AVE,Central Business District,492636.31,5458154.8
Theft from Vehicle,2019,6,14,22,0,1XX MILROSS AVE,Central Business District,492636.31,5458154.8
Theft from Vehicle,2019,3,23,19,30,6XX JACKSON AVE,Strathcona,493203.3,5458514.95
Theft of Bicycle,2019,4,26,7,1,1XX E 1ST AVE,Mount Pleasant,492654.47,5457486.08
Theft from Vehicle,2019,6,29,10,30,34XX E 52ND AVE,Killarney,497662.93,5452125.67
Theft of Vehicle,2019,1,2,5,50,22XX WILLOW ST,Fairview,491146.66,5457023.24
Other Theft,2019,3,29,16,21,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Other Theft,2019,3,23,15,6,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Mischief,2019,3,20,10,45,16XX MAIN ST,Strathcona,492713.46,5457636.7
Theft from Vehicle,2019,7,4,11,23,27XX W 21ST AVE,Arbutus Ridge,487918.61,5455666.81
Theft from Vehicle,2019,4,5,14,0,27XX W 20TH AVE,Arbutus Ridge,487979.61,5455764.86
Other Theft,2019,3,15,20,57,10XX ROBSON ST,West End,491004.98,5459024.48
Mischief,2019,3,1,19,52,16XX MANITOBA ST,Mount Pleasant,492238.35,5457598.04
Other Theft,2019,3,22,16,28,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,7,11,12,3,1XX MILROSS AVE,Central Business District,492611.25,5458146.48
Theft of Vehicle,2019,4,14,18,24,6XX W WATERFRONT RD,Central Business District,491861.6,5459361.82
Theft from Vehicle,2019,5,15,10,18,1XX MILROSS AVE,Central Business District,492611.25,5458146.48
Other Theft,2019,3,24,12,45,10XX ROBSON ST,West End,491004.98,5459024.48
Other Theft,2019,3,17,21,29,3XX SE MARINE DR,Sunset,492774.66,5450882.61
Theft from Vehicle,2019,4,13,21,37,6XX ABBOTT ST,Central Business District,492166.43,5458452.72
